p,template,fact_id,effect_gold,effect_top
P103,What language did [MASK] grow up speaking?,86,0.7662280646519136,1.0016249170157434
P103,What language did [MASK] learn first?,62,0.8567062196841545,1.0014190736682853
P103,What language was [MASK] born speaking?,55,0.745322791266158,1.005122969491717
P103,What language does [MASK] come from?,52,0.6992896649257063,0.9994053344152163
P103,What is [MASK]'s native language?,44,0.7245218228970053,1.0111281118958593
P103,What language is [MASK]'s mother tongue?,40,0.7667563155861331,1.007203929958147
P103,What language is [MASK]'s native tongue?,39,0.8558443865445057,1.002889324809181
P103,What language is [MASK]'s first language?,37,0.7397807103018387,1.0199849870123348
P103,What is [MASK]'s mother tongue?,36,0.7083243067035996,1.0139096336214604
P103,What is the primary language of [MASK]?,35,0.8014010711320498,1.0092848790374922
P103,What is the language of origin for [MASK]?,34,0.7407253356807044,0.9802736039714537
P103,What is the mother tongue of [MASK]?,32,0.8624027763613428,1.0050128973497712
P103,What is the original language of [MASK]?,27,0.8967668456191418,1.0020226502455534
P103,What language is native to [MASK]?,26,0.7059695175486242,0.9792681821861222
P103,What is [MASK]'s first language?,23,0.7439157041399436,1.0147375112637742
P103,What is [MASK]'s native tongue?,23,0.6553840099582499,1.000462686757031
P103,What language is [MASK]'s native language?,22,0.8634565277148881,1.016797350837136
P103,What language is [MASK]'s primary language?,22,0.687489752065201,1.0127728361602377
P103,What language was [MASK]'s first language?,21,0.7836919415909368,1.0238774223261395
P103,What was [MASK]'s mother tongue?,19,0.821097674831196,0.9825225647436261
P103,What language was [MASK] brought up speaking?,18,0.8460845492551173,1.009256035470842
P103,What is the native tongue of [MASK]?,17,0.8021916763240875,0.9850019102450787
P103,What language was [MASK] raised speaking?,17,0.80184750623471,0.9971981691268887
P103,What language did [MASK] learn as a child?,16,0.7178122592616764,1.008730098150508
P103,What language was [MASK]'s mother tongue?,16,0.7233361021003456,0.9943390836577157
P103,What is the language of [MASK]'s origin?,15,0.8323703666692751,0.9729932992878988
P103,What language does [MASK] speak as his mother tongue?,15,0.818810679360901,1.0154634160308489
