,s,p,o,type,ss,os,obj_len_3b,obj_len_sm,prompt
0,Q1001315,P30,Q46,train,Barenton,Europe,2,2,What continent is Barenton located on?
1,Q1003997,P30,Q48,train,Judaea,Asia,2,2,What continent is Judaea located on?
2,Q100,P30,Q49,train,Boston,North America,3,3,What continent is Boston located on?
3,Q1000,P30,Q15,train,Gabon,Africa,2,2,What continent is Gabon located on?
4,Q1072272,P30,Q18,train,economy of South America,South America,3,3,What continent is economy of South America located on?
5,Q1022143,P30,Q51,train,James Ross Island,Antarctica,3,3,What continent is James Ross Island located on?
6,Q12585,P30,Q828,train,Latin America,Americas,3,3,What continent is Latin America located on?
7,Q12557,P30,Q5401,train,Mongol Empire,Eurasia,4,4,What continent is Mongol Empire located on?
8,Q183078,P30,Q3960,train,Murray River,Australia,2,2,What continent is Murray River located on?
9,Q3960,P30,Q55643,train,Australia,Oceania,4,4,What continent is Australia located on?
10,Q28567,P30,Q27611,train,Maya civilization,Central America,3,3,What continent is Maya civilization located on?
11,Q1144305,P30,Q107665732,train,Aquilonia,Hyboria,5,5,What continent is Aquilonia located on?
12,Q1003125,P30,Q46,train,Bagnoles-de-l'Orne,Europe,2,2,What continent is Bagnoles-de-l'Orne located on?
13,Q104735,P30,Q48,train,Belogorsk,Asia,2,2,What continent is Belogorsk located on?
14,Q1002490,P30,Q49,train,New Bern,North America,3,3,What continent is New Bern located on?
15,Q1005,P30,Q15,train,The Gambia,Africa,2,2,What continent is The Gambia located on?
16,Q1130138,P30,Q18,train,Sipaliwini District,South America,3,3,What continent is Sipaliwini District located on?
17,Q1246713,P30,Q51,train,Olympus Range,Antarctica,3,3,What continent is Olympus Range located on?
18,Q1261,P30,Q828,train,Colorado,Americas,3,3,What continent is Colorado located on?
19,Q1433867,P30,Q5401,train,Kazakh Khanate,Eurasia,4,4,What continent is Kazakh Khanate located on?
20,Q18348382,P30,Q3960,train,Colony of New South Wales,Australia,2,2,What continent is Colony of New South Wales located on?
21,Q475597,P30,Q55643,train,Murrumbidgee River,Oceania,4,4,What continent is Murrumbidgee River located on?
22,Q811,P30,Q27611,train,Nicaragua,Central America,3,3,What continent is Nicaragua located on?
23,Q1010,P30,Q46,train,Maribor,Europe,2,2,What continent is Maribor located on?
24,Q1054184,P30,Q48,train,Khmer Republic,Asia,2,2,What continent is Khmer Republic located on?
25,Q104437,P30,Q49,train,Yukon River,North America,3,3,What continent is Yukon River located on?
26,Q1006,P30,Q15,train,Guinea,Africa,2,2,What continent is Guinea located on?
27,Q1140891,P30,Q18,train,Para District,South America,3,3,What continent is Para District located on?
28,Q131198,P30,Q51,train,Heard Island and McDonald Islands,Antarctica,3,3,What continent is Heard Island and McDonald Islands located on?
29,Q1310944,P30,Q828,train,Baía de Todos os Santos,Americas,3,3,What continent is Baía de Todos os Santos located on?
30,Q154667,P30,Q5401,train,Kingdom of Georgia,Eurasia,4,4,What continent is Kingdom of Georgia located on?
31,Q2872203,P30,Q3960,train,mainland Australia,Australia,2,2,What continent is mainland Australia located on?
32,Q5148518,P30,Q55643,train,Colony of New Zealand,Oceania,4,4,What continent is Colony of New Zealand located on?
33,Q1012,P30,Q46,train,Celje,Europe,2,2,What continent is Celje located on?
34,Q1054923,P30,Q48,train,British Hong Kong,Asia,2,2,What continent is British Hong Kong located on?
35,Q10615930,P30,Q49,train,Panem,North America,3,3,What continent is Panem located on?
36,Q1008,P30,Q15,train,Ivory Coast,Africa,2,2,What continent is Ivory Coast located on?
37,Q1140897,P30,Q18,train,Marowijne District,South America,3,3,What continent is Marowijne District located on?
38,Q140948,P30,Q51,train,South Shetland Islands,Antarctica,3,3,What continent is South Shetland Islands located on?
39,Q1360486,P30,Q828,train,Great Smoky Mountains,Americas,3,3,What continent is Great Smoky Mountains located on?
40,Q175117,P30,Q5401,train,Moskva River,Eurasia,4,4,What continent is Moskva River located on?
41,Q498876,P30,Q3960,train,Snowy River,Australia,2,2,What continent is Snowy River located on?
42,Q1014708,P30,Q46,train,Avène,Europe,2,2,What continent is Avène located on?
43,Q1057823,P30,Q48,train,Aley,Asia,2,2,What continent is Aley located on?
44,Q106863563,P30,Q49,train,Willapa Bay Basin,North America,3,3,What continent is Willapa Bay Basin located on?
45,Q1011,P30,Q15,train,Cape Verde,Africa,2,2,What continent is Cape Verde located on?
46,Q1147515,P30,Q18,train,Nickerie District,South America,3,3,What continent is Nickerie District located on?
47,Q1422420,P30,Q51,train,Windmill Islands,Antarctica,3,3,What continent is Windmill Islands located on?
48,Q14460,P30,Q828,train,La Florida,Americas,3,3,What continent is La Florida located on?
49,Q201038,P30,Q5401,train,Roman Kingdom,Eurasia,4,4,What continent is Roman Kingdom located on?
50,Q583565,P30,Q3960,train,River Derwent,Australia,2,2,What continent is River Derwent located on?
51,Q1015,P30,Q46,train,Koper,Europe,2,2,What continent is Koper located on?
52,Q1061269,P30,Q48,train,Palawan,Asia,2,2,What continent is Palawan located on?
53,Q1070529,P30,Q49,train,Colony of Virginia,North America,3,3,What continent is Colony of Virginia located on?
54,Q1016,P30,Q15,train,Libya,Africa,2,2,What continent is Libya located on?
55,Q1147524,P30,Q18,train,Wanica District,South America,3,3,What continent is Wanica District located on?
56,Q1478409,P30,Q51,train,Queen Alexandra Range,Antarctica,3,3,What continent is Queen Alexandra Range located on?
57,Q14484,P30,Q828,train,Las Condes,Americas,3,3,What continent is Las Condes located on?
58,Q204266,P30,Q5401,train,Toyama,Eurasia,4,4,What continent is Toyama located on?
59,Q10174,P30,Q46,train,Lyon tramway,Europe,2,2,What continent is Lyon tramway located on?
60,Q1061515,P30,Q48,train,Ishikari River,Asia,2,2,What continent is Ishikari River located on?
61,Q10857816,P30,Q49,train,Huejutla de Reyes,North America,3,3,What continent is Huejutla de Reyes located on?
62,Q1020,P30,Q15,train,Malawi,Africa,2,2,What continent is Malawi located on?
63,Q118251,P30,Q18,train,Madeira Rivel,South America,3,3,What continent is Madeira Rivel located on?
64,Q1513315,P30,Q51,train,South Pole Telescope,Antarctica,3,3,What continent is South Pole Telescope located on?
65,Q1507,P30,Q828,train,Patagonia,Americas,3,3,What continent is Patagonia located on?
66,Q210036,P30,Q5401,train,Chechen Republic of Ichkeria,Eurasia,4,4,What continent is Chechen Republic of Ichkeria located on?
67,Q1017934,P30,Q46,train,Puimoisson,Europe,2,2,What continent is Puimoisson located on?
68,Q1065073,P30,Q48,train,Song,Asia,2,2,What continent is Song located on?
69,Q1095773,P30,Q49,train,Clark University,North America,3,3,What continent is Clark University located on?
70,Q1025,P30,Q15,train,Mauritania,Africa,2,2,What continent is Mauritania located on?
71,Q118771,P30,Q18,train,Rio Negro,South America,3,3,What continent is Rio Negro located on?
72,Q156123,P30,Q51,train,Lützow-Holm Bay,Antarctica,3,3,What continent is Lützow-Holm Bay located on?
73,Q174761,P30,Q828,train,Chilean Coast Range,Americas,3,3,What continent is Chilean Coast Range located on?
74,Q2184,P30,Q5401,train,Russian Soviet Federative Socialist Republic,Eurasia,4,4,What continent is Russian Soviet Federative Socialist Republic located on?
75,Q1018,P30,Q46,train,Nova Gorica,Europe,2,2,What continent is Nova Gorica located on?
76,Q1069609,P30,Q48,train,Western Zhou Dynasty,Asia,2,2,What continent is Western Zhou Dynasty located on?
77,Q11208,P30,Q49,train,The Pentagon,North America,3,3,What continent is The Pentagon located on?
78,Q102679,P30,Q15,train,Numidia,Africa,2,2,What continent is Numidia located on?
79,Q127892,P30,Q18,train,Paraná River,South America,3,3,What continent is Paraná River located on?
80,Q164466,P30,Q51,train,Ross Sea,Antarctica,3,3,What continent is Ross Sea located on?
81,Q177567,P30,Q828,train,Amazon rainforest,Americas,3,3,What continent is Amazon rainforest located on?
82,Q2305208,P30,Q5401,train,Russian Socialist Federative Soviet Republic,Eurasia,4,4,What continent is Russian Socialist Federative Soviet Republic located on?
83,Q1018559,P30,Q46,train,Peyroules,Europe,2,2,What continent is Peyroules located on?
84,Q1069868,P30,Q48,train,Liang dynasty,Asia,2,2,What continent is Liang dynasty located on?
85,Q1121436,P30,Q49,train,Province of Canada,North America,3,3,What continent is Province of Canada located on?
86,Q1036,P30,Q15,train,Uganda,Africa,2,2,What continent is Uganda located on?
87,Q131792,P30,Q18,train,Orinoco River,South America,3,3,What continent is Orinoco River located on?
88,Q173343,P30,Q51,train,Weddell Sea,Antarctica,3,3,What continent is Weddell Sea located on?
89,Q190025,P30,Q828,train,Federal Republic of Central America,Americas,3,3,What continent is Federal Republic of Central America located on?
90,Q245160,P30,Q5401,train,Democratic Republic of Georgia,Eurasia,4,4,What continent is Democratic Republic of Georgia located on?
91,Q1018640,P30,Q46,train,Montagnac-Montpezat,Europe,2,2,What continent is Montagnac-Montpezat located on?
92,Q1072402,P30,Q48,train,Khudosey River,Asia,2,2,What continent is Khudosey River located on?
93,Q1134180,P30,Q49,train,Lower Canada,North America,3,3,What continent is Lower Canada located on?
94,Q1037,P30,Q15,train,Rwanda,Africa,2,2,What continent is Rwanda located on?
95,Q1351157,P30,Q18,train,Saramacca District,South America,3,3,What continent is Saramacca District located on?
96,Q1796029,P30,Q51,train,Queen Maud Mountains,Antarctica,3,3,What continent is Queen Maud Mountains located on?
97,Q199821,P30,Q828,train,Gran Colombia,Americas,3,3,What continent is Gran Colombia located on?
98,Q383723,P30,Q5401,train,Herentals,Eurasia,4,4,What continent is Herentals located on?
99,Q1019526,P30,Q46,train,Bílina,Europe,2,2,What continent is Bílina located on?
100,Q1072523,P30,Q48,train,Amnya,Asia,2,2,What continent is Amnya located on?
101,Q1134573,P30,Q49,train,Coronation Gulf,North America,3,3,What continent is Coronation Gulf located on?
102,Q1039,P30,Q15,train,São Tomé and Príncipe,Africa,2,2,What continent is São Tomé and Príncipe located on?
103,Q142148,P30,Q18,train,São Francisco River,South America,3,3,What continent is São Francisco River located on?
104,Q1815832,P30,Q51,train,Sør Rondane Mountains,Antarctica,3,3,What continent is Sør Rondane Mountains located on?
105,Q28145790,P30,Q828,train,America/Denver,Americas,3,3,What continent is America/Denver located on?
106,Q43048,P30,Q5401,train,Rhodes,Eurasia,4,4,What continent is Rhodes located on?
107,Q1020731,P30,Q46,train,Belmont-sur-Rance,Europe,2,2,What continent is Belmont-sur-Rance located on?
108,Q107258515,P30,Q48,train,Pahlavi Iran,Asia,2,2,What continent is Pahlavi Iran located on?
109,Q1166,P30,Q49,train,Michigan,North America,3,3,What continent is Michigan located on?
110,Q1041,P30,Q15,train,Senegal,Africa,2,2,What continent is Senegal located on?
111,Q14452,P30,Q18,train,Easter Island,South America,3,3,What continent is Easter Island located on?
112,Q207383,P30,Q51,train,South Orkney Islands,Antarctica,3,3,What continent is South Orkney Islands located on?
113,Q28146035,P30,Q828,train,America/New_York,Americas,3,3,What continent is America/New_York located on?
114,Q4398229,P30,Q5401,train,Russian state 1918-1920,Eurasia,4,4,What continent is Russian state 1918-1920 located on?
115,Q1021,P30,Q46,train,Kranj,Europe,2,2,What continent is Kranj located on?
116,Q1072629,P30,Q48,train,Chikkaballapura district,Asia,2,2,What continent is Chikkaballapura district located on?
117,Q11703,P30,Q49,train,United States Virgin Islands,North America,3,3,What continent is United States Virgin Islands located on?
118,Q1044,P30,Q15,train,Sierra Leone,Africa,2,2,What continent is Sierra Leone located on?
