,p,template,fact_id,effect_gold,effect_top
14364,P27,What is the nation of [MASK]'s citizenship?,197,0.9626436111754261,0.9738364592425307
14189,P27,What is the nationality of [MASK]?,158,,0.9617270645257162
14596,P27,What is [MASK]'s passport nationality?,116,,0.9653780479367043
14191,P27,What is [MASK]'s national identity?,92,,0.8678458475958135
14192,P27,What is [MASK]'s country of origin?,86,1.002254857786641,0.9884801123868896
14194,P27,What country is [MASK] a citizen of?,82,1.3110732127476514,1.0780557862610056
14193,P27,To which country does [MASK] belong?,70,1.1233025064748114,1.0425946986437375
14195,P27,To which nation does [MASK] belong?,68,,1.0380708005878563
14196,P27,What is [MASK]'s native country?,66,,1.042766206081355
14198,P27,To what country does [MASK] belong?,55,1.081492817865422,1.090531565660733
14197,P27,To which country does [MASK] owe allegiance?,50,1.0348530766486028,0.9980167753640028
14200,P27,To which nation does [MASK] owe allegiance?,45,,0.9480841533983563
14199,P27,What is [MASK]'s native land?,42,,1.0046447634468432
14227,P27,What is the country of origin of [MASK]?,37,1.1603035271178301,1.0108309416445034
14202,P27,Where is [MASK] from?,36,0.971502345340327,0.9425075966360661
14211,P27,What nation is [MASK] a citizen of?,32,,1.0737499645096427
14204,P27,What is the national identity of [MASK]?,31,0.8577783112833993,0.8756740560407797
14215,P27,What nation does [MASK] belong to?,31,1.0936532299233463,1.0475386095523516
14206,P27,What is the birthplace of [MASK]?,28,,0.8690504150381232
14205,P27,What is the native country of [MASK]?,28,1.0463358511407044,1.023811599512798
14208,P27,What is [MASK]'s citizenship status?,28,0.8926531419088674,0.9600361554442098
14210,P27,Where does [MASK] hold citizenship?,25,1.1261589384203068,1.01175759815914
14229,P27,What is [MASK]'s allegiance?,23,,0.8769348653123944
14209,P27,What is the native land of [MASK]?,22,0.9963540123403803,0.9370211634562723
14761,P27,Which country is [MASK] a legal citizen of?,22,,1.056736820671203
14207,P27,What country is [MASK] from?,21,1.1663233779663351,1.0716599365807133
14217,P27,To what country does [MASK] owe allegiance?,21,,0.9766919566656417
14225,P27,To what nation does [MASK] owe allegiance?,19,1.240516972533201,0.9724116406760911
14216,P27,Where is [MASK] a citizen?,19,1.033188655701443,1.036608627579747
14212,P27,In what country is [MASK] a citizen?,18,1.067677159491506,1.0714430162016024
14221,P27,To which state does [MASK] owe allegiance?,18,1.0194077939287387,0.9395257065271561
14220,P27,What is the home country of [MASK]?,17,,1.0868543824359498
14234,P27,To which nation is [MASK] a citizen?,16,,1.0524853512414079
14213,P27,What is [MASK]'s country of citizenship?,16,1.0505966641174165,1.0779751650436762
14214,P27,What is [MASK]'s nation of origin?,16,0.9661467235232756,1.0230878882101002
14222,P27,What is [MASK]'s home country?,15,1.0768878228119871,1.109076035850967
14224,P27,What nation does [MASK] call home?,14,1.0781503627229694,1.0521739949215305
14223,P27,What is [MASK]'s national affiliation?,14,0.8408437879723806,0.8565862890927933
14226,P27,What country does [MASK] call home?,14,,1.068111093249819
14248,P27,What is the nation of [MASK]'s birth?,12,,1.0574179261915744
14272,P27,In which country does [MASK] hold citizenship?,11,1.5568594508669833,1.040253441850598
14238,P27,In which country is [MASK] a citizen?,11,1.1486024611483705,1.0379850436088895
14230,P27,What is [MASK]'s national origin?,11,0.9061617526050252,0.936247368901422
14298,P27,Of which state is [MASK] a citizen?,9,,1.0539078103837116
14240,P27,What is [MASK]'s homeland?,9,1.1150250985832193,1.0083186300079565
14271,P27,In what nation does [MASK] hold citizenship?,9,1.0644260470607954,1.0808618963905208
14259,P27,What is the homeland of [MASK]?,9,,0.9966371457831147
14245,P27,What is [MASK]'s home nation?,9,,1.084931681482297
14291,P27,What state is [MASK] a citizen of?,8,,1.0135808930542516
14249,P27,What is the national origin of [MASK]?,8,0.8987253679000293,0.9487840052836357
14280,P27,What country is [MASK] a national of?,8,,1.0708474501929104
14241,P27,Where was [MASK] born?,8,1.6743624421491294,0.870709905612302
14265,P27,What country does [MASK] hold citizenship in?,7,,1.0543612190580283
14296,P27,In which nation does [MASK] hold citizenship?,7,1.2277632162836987,1.059556031838524
14268,P27,What passport does [MASK] hold?,7,0.9638094926696922,0.9173709593660769
14243,P27,To which country did [MASK] belong?,7,0.9166488858697877,0.969209540544303
14247,P27,What is [MASK]'s place of citizenship?,7,1.0298289156496396,1.0120728923104212
14253,P27,Where does [MASK] come from?,7,0.9048935947379392,0.9552695127529613
14258,P27,What is [MASK]'s place of origin?,7,0.8792309523362138,0.9895196912538248
14250,P27,What nation does [MASK] identify with?,7,1.0218061196889152,1.0768577539253787
14251,P27,What nationality does [MASK] possess?,7,0.9263596994624995,0.9873168483651076
14252,P27,What nationality was [MASK]?,7,,0.9962858947126483
14261,P27,What nationality does [MASK] hold?,6,0.9943230463713651,0.9520735339035981
14301,P27,To what nation did [MASK] belong?,6,,1.0003450324925967
14315,P27,What is the country of [MASK]'s birth?,6,,1.0975749824456464
14316,P27,What is the nation of origin of [MASK]?,6,1.3974994612235774,1.0417430847186264
14263,P27,To what country is [MASK] a citizen?,6,1.3470454662418287,1.1263660006636933
14331,P27,In which country is [MASK] a national?,6,,1.0856354304334708
14254,P27,In which nation is [MASK] a citizen?,6,1.1347730979784785,1.140233589024714
14256,P27,To what state does [MASK] owe allegiance?,6,0.8947183725308971,0.9228373820794746
14257,P27,What country does [MASK] come from?,6,1.0499655158250043,1.102599096258251
14270,P27,Where does [MASK] have citizenship?,6,0.9557858729800922,1.0447458273264194
14267,P27,What is the national affiliation of [MASK]?,6,0.8592980129426856,0.8592980129426824
14328,P27,In which country does [MASK] have citizenship?,5,,1.0385864142610082
14292,P27,What was [MASK]'s citizenship?,5,,0.9943740857120936
14284,P27,What is the national background of [MASK]?,5,0.8708133398650428,0.8666685558540855
14275,P27,To which country does [MASK] hold allegiance?,5,0.9609443698973188,1.062411618743571
14286,P27,What is the passport of [MASK]?,5,0.8700002909843192,0.9154240206001717
14266,P27,What is the home nation of [MASK]?,5,1.8167947976484196,1.1861316139068099
14279,P27,What citizenship does [MASK] possess?,5,0.9609881372972623,0.9549686243156671
14273,P27,Of what country is [MASK] a resident?,4,1.0741829483004535,1.0434552326876367
14288,P27,What nation does [MASK] hold allegiance to?,4,1.054571021402004,0.9970765179060973
14337,P27,To what nationality does [MASK] belong?,4,,1.0036146691769061
14277,P27,To which nation is [MASK] affiliated?,4,0.9910510078458116,1.0140363361153466
14282,P27,What is [MASK]'s passport country?,4,0.9825131411120522,1.0336107233807348
14324,P27,Where is [MASK] a legal resident?,4,1.5290146352143135,0.94717296983569
